name,cdsCode
California Avenue Elementary,37684526040604
Mission Elementary,37735696038871
Rancho Minerva Middle,37684526059802
Surfside High (Continuation),37735693739026
Grapevine Elementary,37684526040620
Christa McAuliffe Elementary,37735696108211
Beaumont Elementary,37684526040588
Lincoln Middle,37735696038863
Casita Center for Science/Math/Technology,37684526069124
Palmquist Elementary,37735696038897
Breeze Hill Elementary,37684526110399
Twin Oaks High,37737913730215
Foothills High,37737913730793
South Oceanside Elementary,37735696038921
Twin Oaks Elementary,37737916115349
Madison Middle,37684526112221
Lake Elementary,37684526107585
Hope Elementary,37735516106512
Calavera Hills Elementary,37735516120711
Buena Vista Elementary,37735516037774
Carlsbad High,37735513730694
Rancho Buena Vista High,37684523730728
North Broadway Elementary,37680986102750
Magnolia Elementary,37735516037790
Paloma Elementary,37737916108872
Carlsbad Seaside Academy,37735513731163
Valley Middle,37735516037816
Carlsbad Village Academy,37735513730017
Rincon Middle,37680986105944
Richland Elementary,37737916039077
Jefferson Elementary,37735516037782
Woodland Park Middle,37737916095061
Kelly Elementary,37735516099352
San Marcos Middle,37737916039093
Conway Elementary,37680986038186
Glen View Elementary,37680986038939
Orange Glen Elementary,37680986038947
La Mirada Academy,37737916039069
North Coastal Consortium Schools,37103711996545
Escondido High,37681063732062
Rose Elementary,37680986038251
San Marcos Elementary,37737916039085
Knob Hill Elementary,37737916107148
Pioneer Elementary,37680986110381
Rock Springs Elementary,37680986111769
Heritage K-8 Charter,37680980101535
Escondido Charter High,37681063731023
Lincoln Elementary,37680986038236
Liberty Elementary,37680230105957
Salt Creek Elementary,37680230105965
Sycamore Ridge,37680560110114
Mission Middle,37680986038210
Hidden Valley Middle,37680986093215
San Marcos High,37737913737632
Oak Hill Elementary,37680986038244
Discovery Elementary,37737916114169
Orange Glen High,37681063735313
Carrillo Elementary,37737916116206
Bear Valley Middle,37680980102590
Valley High (Continuation),37681063732054
Central Elementary,37680986038178
Pacific Rim Elementary,37735516116578
Aviara Oaks Elementary,37735516109201
Aviara Oaks Middle,37735516118137
Felicita Elementary,37680986038202
Juniper Elementary,37680986038228
La Costa Meadows Elementary,37737916105993
Miller Elementary,37680986066997
Spencer Valley Elementary,37684036040554
San Pasqual Union Elementary,37683536040331
L. R. Green Elementary,37680986107882
Bancroft Elementary,37681976038418
Jamul Elementary,37681556038319
Steele Canyon High,37681303731262
McGill School of Success,37683386113211
Sunset View Elementary,37683386040208
Museum,37683386115570
Paradise Hills Elementary,37683386040059
