WKT,schoolID,name,district,priv,child_density,med_income,cv_miles,minGrade,maxGrade,cd_pct,mi_pct,metric
"POINT (490568.523188925 3639799.55460928)","480",Marshall Middle,San Diego Unified,N,0.000153550878664499,250001,8.92111826444164,6,8,0.313592233009709,0.96747572815534,0.303392873974927
"POINT (480984.548451398 3643074.7224791)","482",Sage Canyon,Del Mar Union Elementary,N,0.000142349813504087,250001,2.67120560174548,0,6,0.26504854368932,0.96747572815534,0.256428032802338
"POINT (479081.407376804 3641746.70961517)","483",Torrey Hills,Del Mar Union Elementary,N,0.000103715897190346,250001,2.5801509998764,0,6,0.162135922330097,0.96747572815534,0.156862569516448
"POINT (485371.914472938 3641645.26758207)","487",Challenger Middle,San Diego Unified,N,0.000216734852976401,172549,5.49000768446213,6,8,0.574757281553398,0.674271844660194,0.387542652464888
"POINT (474413.909589458 3654800.94313737)","566",Ada W. Harris Elementary,Cardiff Elementary,N,0.000133597083828151,182305,6.08862428610113,3,6,0.231067961165049,0.745631067961165,0.172291450655104
"POINT (479914.830205495 3643319.35570378)","598",Ocean Air,Del Mar Union Elementary,N,0.00022096857048225,250001,2.05589613444801,0,6,0.58252427184466,0.96747572815534,0.563578094071072
"POINT (482566.176610439 3646679.49295537)","768",Pacific Trails Middle,San Dieguito Union High,N,0.000170203741201625,250001,3.23561675287812,7,8,0.399029126213592,0.96747572815534,0.386050994438684
"POINT (482031.846209642 3647519.79093833)","769",Solana Ranch Elementary,Solana Beach Elementary,N,0.000184113247824518,250001,3.07866407426479,0,6,0.466019417475728,0.96747572815534,0.450862475256857
"POINT (488565.343274371 3653249.63457814)","770",Design 39 Campus,Poway Unified,N,0.000241214474773905,215875,8.41471753498165,0,8,0.628155339805825,0.874271844660194,0.54917852766519
"POINT (473871.559877178 3656345.59906216)","988",JCS - Mountain Oaks,Julian Union Elementary,N,0.000150864446310696,182305,7.11172554399615,0,8,0.304854368932039,0.745631067961165,0.227308888679423
"POINT (483744.684434606 3647249.76937417)","1239",Pacific Sky,Del Mar Union Elementary,N,0.000192146358169688,250001,4.03611091033517,0,6,0.499029126213592,0.96747572815534,0.482798567254218
"POINT (481529.462908997 3650975.16648826)","100015","Nativity School, The",Solana Beach Elementary,Y,7.77406091491897e-05,250001,4.21243575472891,0,8,0.119417475728155,0.96747572815534,0.11553350928457
"POINT (475344.422381017 3649654.00216559)","100017",St. James Academy,Solana Beach Elementary,Y,8.87723364164646e-05,213400,2.89241104468767,0,8,0.14368932038835,0.867961165048544,0.124716749929305
"POINT (493919.671344692 3645719.45117575)","100018",NewBridge School,Poway Unified,Y,0.000128092807589152,220882,10.256068041362,0,8,0.212135922330097,0.883495145631068,0.18742105759261
"POINT (491893.681726588 3640231.44308501)","100021",Chabad Hebrew Academy,San Diego Unified,Y,0.000125565691750619,250001,9.58741491372574,0,8,0.198058252427184,0.96747572815534,0.191616551984164
"POINT (494462.215493781 3650788.30261325)","100099",St. Michael's School,Poway Unified,Y,0.000135048524900242,200833,11.0863543814832,0,8,0.235922330097087,0.839805825242718,0.198128947120369
"POINT (476379.317030638 3653627.67275674)","100115",Encinitas Country Day School,Encinitas Union Elementary,Y,0.000108651881000475,226548,5.08887302254982,0,8,0.172815533980583,0.901456310679612,0.155785653690263
"POINT (479357.330035611 3644913.36104482)","100126",Notre Dame Academy,Del Mar Union Elementary,Y,0.000213409948334025,250001,1.22378712468827,0,8,0.567961165048544,0.96747572815534,0.549488641719295
