,district,socType,name,minGrade,cv_dist,cv_miles
131,Fallbrook Union Elementary,Intermediate/Middle Schools (Public),James E. Potter Intermediate,7.0,46552.21827824971,29.09513642390607
220,San Ysidro Elementary,Intermediate/Middle Schools (Public),San Ysidro Middle,7.0,46914.828465190694,29.321767790744182
893,Sweetwater Union High,Adult Education Centers,San Ysidro Adult Education Center,16.0,46975.157595802906,29.359473497376815
284,Sweetwater Union High,High Schools (Public),San Ysidro High,9.0,47245.23690102561,29.528273063141004
400,Julian Union High,High Schools (Public),Julian High,9.0,61951.69339125903,38.71980836953689
399,Julian Union Elementary,Intermediate/Middle Schools (Public),Julian Junior High,6.0,61991.2794507005,38.744549656687816
141,Warner Unified,High Schools (Public),Warner Junior/Senior High,7.0,66454.23240427267,41.53389525267042
549,Warner Unified,Continuation High Schools,San Jose Valley Continuation High,9.0,66454.23240427267,41.53389525267042
622,Mountain Empire Unified,Intermediate/Middle Schools (Public),Pine Valley Middle,7.0,68350.71155609889,42.71919472256181
527,Mountain Empire Unified,District Community Day Schools,Cottonwood Community Day,7.0,73883.79440954713,46.17737150596696
200,Mountain Empire Unified,High Schools (Public),Mountain Empire High,9.0,73910.90369654671,46.194314810341695
24,Mountain Empire Unified,Continuation High Schools,Campo High (Continuation),9.0,73910.90369654671,46.194314810341695
23,Mountain Empire Unified,Alternative Schools of Choice,Hillside Junior/Senior High,7.0,73910.90369654671,46.194314810341695
621,Mountain Empire Unified,Intermediate/Middle Schools (Public),Camp Lockett Middle,7.0,80139.58469533877,50.08724043458673
288,Borrego Springs Unified,Intermediate/Middle Schools (Public),Borrego Springs Middle,6.0,87396.15363760635,54.62259602350397
142,Borrego Springs Unified,High Schools (Public),Borrego Springs High,9.0,87396.15363760635,54.62259602350397
876,Borrego Springs Unified,High Schools (Public),San Diego Workforce Innovation High,9.0,87396.15363760635,54.62259602350397
